,CMUIR-C-NU-Base-1,CMUIR-C-NU-Base-2,CMUIR-C-NU-Base-3,CMUIR-C-NU-Base-4,CMUIR-C-NU-Base-5,RUCIR-C-NU-Base-1,RUCIR-C-NU-Base-2,RUCIR-C-NU-Base-3,RUCIR-C-NU-Base-4,RUCIR-C-NU-Base-5,SLWWW-C-NU-Base-1,SLWWW-C-NU-Base-2,SLWWW-C-NU-Base-3,SLWWW-C-NU-Base-4,THUIR-C-CU-Base-1,THUIR-C-CU-Base-2,THUIR-C-CU-Base-3,THUIR-C-CU-Base-4,THUIR-C-CU-Base-5
0011,0.8629,0.7661,0.8970,0.7689,0.6768,0.7006,0.8441,0.6728,0.8421,0.8247,0.1952,0.1952,0.1978,0.1978,0.3943,0.1821,0.8208,0.5973,0.5973
0012,0.9278,0.9394,0.9401,0.7243,0.5233,0.7111,0.9044,0.5923,0.8985,0.4393,0.2617,0.2617,0.2096,0.2096,0.7876,0.5795,0.6762,0.7005,0.7005
0013,0.6045,0.6371,0.6224,0.6924,0.6851,0.5136,0.5215,0.7006,0.4826,0.5771,0.1673,0.1673,0.1820,0.1820,0.4346,0.1212,0.3433,0.0396,0.0396
0014,0.3123,0.3493,0.5574,0.7938,0.4123,0.6402,0.9519,0.6038,0.4010,0.4707,0.0260,0.0260,0.0217,0.0217,0.3447,0.4329,0.2524,0.1295,0.1295
0015,0.3453,0.5629,0.2075,0.4848,0.3825,0.3919,0.5580,0.3703,0.2084,0.3126,0.0294,0.0246,0.0617,0.0294,0.1313,0.1304,0.2025,0.2050,0.2050
0016,0.5856,0.6939,0.6324,0.4851,0.6450,0.6713,0.6267,0.4430,0.8879,0.8043,0.2358,0.2358,0.0397,0.0397,0.6292,0.8875,0.6919,0.6709,0.6709
0017,0.4040,0.6133,0.5104,0.4792,0.4828,0.2217,0.6639,0.5115,0.3368,0.4876,0.3085,0.3085,0.2442,0.2442,0.5051,0.4902,0.2362,0.4348,0.4348
0018,0.6402,0.6369,0.7004,0.6639,0.5151,0.7029,0.5630,0.7157,0.7388,0.5811,0.0542,0.0542,0.5887,0.5887,0.5398,0.7290,0.4992,0.5862,0.5862
0019,0.5968,0.6050,0.5474,0.4023,0.4742,0.5620,0.7537,0.5392,0.5961,0.5911,0.5166,0.3773,0.3224,0.5535,0.5470,0.6072,0.5851,0.3581,0.3581
0020,0.6147,0.6208,0.6188,0.7763,0.5375,0.4851,0.3468,0.1515,0.4104,0.5741,0.4145,0.4145,0.3605,0.3605,0.3078,0.2408,0.2226,0.3372,0.3372
0021,0.6980,0.8397,0.6900,0.6254,0.6587,0.7547,0.6651,0.5080,0.5326,0.6294,0.6704,0.6636,0.4078,0.7047,0.3871,0.4957,0.5731,0.6042,0.6042
0022,0.6538,0.3981,0.4573,0.3937,0.5746,0.4310,0.4972,0.5104,0.4463,0.5704,0.5562,0.5562,0.7294,0.7294,0.3389,0.2947,0.1614,0.4563,0.4563
0023,0.5499,0.4264,0.6061,0.5187,0.5988,0.6824,0.7009,0.6253,0.3094,0.6125,0.4536,0.4536,0.4076,0.4076,0.6513,0.6724,0.3891,0.6504,0.6504
0024,0.7026,0.8744,0.7778,0.7746,0.6360,0.8267,0.6630,0.7000,0.8398,0.6778,0.1754,0.1754,0.0730,0.0730,0.4960,0.5153,0.3427,0.4947,0.4947
0025,0.4960,0.4914,0.4870,0.4810,0.6074,0.6621,0.8091,0.4118,0.5395,0.4849,0.6600,0.6600,0.6600,0.6600,0.4311,0.4300,0.2462,0.4690,0.4690
0026,0.5991,0.7688,0.5890,0.6206,0.4794,0.7591,0.7758,0.7230,0.7661,0.5799,0.0338,0.0338,0.0415,0.0415,0.6744,0.5172,0.5664,0.7116,0.7116
0027,0.5936,0.4865,0.6575,0.6016,0.6432,0.6951,0.5182,0.5881,0.5498,0.7944,0.3389,0.3389,0.1455,0.1455,0.5340,0.3064,0.3322,0.2613,0.2613
0028,0.3231,0.3613,0.3961,0.4515,0.7898,0.6058,0.3844,0.4725,0.3074,0.5422,0.0000,0.0000,0.0000,0.0000,0.0211,0.0119,0.0267,0.0566,0.0566
0029,0.6762,0.2152,0.4577,0.1818,0.7066,0.8228,0.8423,0.6961,0.9153,0.8285,0.2799,0.2799,0.2188,0.2188,0.1954,0.0910,0.0000,0.0083,0.0083
0030,0.4292,0.2939,0.2817,0.2597,0.3683,0.6271,0.5908,0.5311,0.6572,0.5603,0.0447,0.0447,0.0106,0.0106,0.5177,0.2260,0.0907,0.3754,0.3754
0031,0.9205,0.9142,0.8966,0.8991,0.9011,0.6968,0.7216,0.7578,0.7618,0.5533,0.1447,0.1447,0.3192,0.3192,0.7050,0.4299,0.6978,0.7404,0.7404
0032,0.6987,0.4329,0.5682,0.6227,0.4992,0.5673,0.5362,0.3627,0.7001,0.5578,0.1340,0.1340,0.0000,0.0000,0.1638,0.1355,0.3708,0.4535,0.4535
0033,0.8731,0.8031,0.7833,0.5994,0.8072,0.6756,0.6490,0.5552,0.6370,0.6529,0.6120,0.6052,0.5982,0.5982,0.7219,0.7269,0.7510,0.7506,0.7506
0034,0.8038,0.6918,0.4219,0.2691,0.2854,0.6539,0.7554,0.6343,0.7374,0.7398,0.3461,0.3461,0.3155,0.3155,0.4534,0.5744,0.4477,0.7789,0.7789
0035,0.6673,0.6472,0.6827,0.5974,0.6517,0.7757,0.6694,0.6572,0.6863,0.7457,0.3926,0.3926,0.3917,0.3917,0.3726,0.3690,0.4298,0.6102,0.6102
0036,0.7086,0.6436,0.5613,0.8577,0.4423,0.3666,0.7517,0.5415,0.4270,0.3268,0.1779,0.1779,0.2076,0.2076,0.6564,0.6327,0.4927,0.4488,0.4488
0037,0.5141,0.4600,0.3629,0.4212,0.3013,0.6846,0.5160,0.4497,0.3967,0.3487,0.1671,0.1671,0.2270,0.2270,0.4081,0.4629,0.4111,0.1943,0.1943
0038,0.5882,0.6921,0.8168,0.8694,0.8714,0.8008,0.8052,0.5410,0.7726,0.6138,0.5849,0.5849,0.5834,0.5834,0.2952,0.4503,0.2490,0.4311,0.4311
0039,0.7287,0.4854,0.4562,0.3858,0.6168,0.4978,0.5817,0.5779,0.4047,0.6148,0.1237,0.1237,0.1096,0.1096,0.3655,0.3033,0.4323,0.5252,0.5252
0040,0.5803,0.1196,0.7098,0.2865,0.3434,0.7835,0.8449,0.6350,0.7463,0.7797,0.3204,0.3204,0.2118,0.2118,0.0000,0.4131,0.0000,0.0805,0.0805
0041,0.3741,0.3050,0.4188,0.3315,0.5494,0.4725,0.5977,0.4907,0.5037,0.4537,0.1424,0.1424,0.1372,0.1372,0.6032,0.3378,0.5081,0.3839,0.3839
0042,0.4751,0.6528,0.5082,0.5271,0.3855,0.5059,0.6703,0.6436,0.3193,0.6257,0.6973,0.6973,0.5858,0.5858,0.5331,0.6657,0.3889,0.7161,0.7161
0043,0.3773,0.2567,0.6079,0.4287,0.5078,0.6573,0.6772,0.5253,0.6100,0.4154,0.0568,0.0568,0.0628,0.0628,0.5232,0.1380,0.0954,0.1170,0.1170
0044,0.5267,0.6015,0.5792,0.5044,0.5153,0.4740,0.6373,0.5022,0.3536,0.2766,0.3375,0.3375,0.2897,0.2897,0.5759,0.2767,0.5092,0.3295,0.3295
0045,0.5855,0.6629,0.5301,0.5015,0.6537,0.4484,0.4955,0.5485,0.4391,0.5630,0.5686,0.5686,0.3884,0.3884,0.5392,0.1722,0.4671,0.4545,0.4545
0046,0.5176,0.5679,0.5012,0.5118,0.6874,0.5095,0.6539,0.2494,0.5263,0.4992,0.4047,0.4508,0.5013,0.3769,0.5782,0.6920,0.4623,0.6578,0.6578
0047,0.6152,0.4300,0.6869,0.5172,0.4408,0.6256,0.6559,0.0391,0.3351,0.4172,0.0190,0.0190,0.0301,0.0301,0.2493,0.0107,0.2652,0.1452,0.1452
0048,0.6057,0.6212,0.5646,0.5819,0.8031,0.7889,0.7129,0.5739,0.6514,0.7644,0.2132,0.2132,0.2132,0.2132,0.6928,0.7392,0.4579,0.5464,0.5464
0049,0.4285,0.4762,0.4652,0.4816,0.3845,0.6616,0.5248,0.4165,0.4393,0.3056,0.1685,0.1685,0.6129,0.6129,0.3184,0.1506,0.2177,0.1609,0.1609
0050,0.6314,0.6280,0.7313,0.6278,0.6677,0.6145,0.5146,0.5940,0.5270,0.5371,0.4594,0.4594,0.3871,0.3871,0.5900,0.6294,0.5567,0.5767,0.5767
0051,0.9090,0.9140,0.8259,0.8544,0.9250,0.7590,0.9397,0.8915,0.9371,0.9367,0.3444,0.3444,0.2891,0.2891,0.9467,0.9275,0.7355,0.7728,0.7728
0052,0.5267,0.6694,0.5957,0.5638,0.6920,0.6527,0.6075,0.6691,0.6560,0.7006,0.3314,0.3314,0.1452,0.1452,0.6931,0.6635,0.4192,0.4680,0.4680
0053,0.6453,0.7863,0.7522,0.7387,0.5993,0.7320,0.6932,0.5040,0.6519,0.5701,0.1186,0.1186,0.0947,0.0947,0.6500,0.6864,0.6061,0.4346,0.4346
0054,0.3449,0.2851,0.4492,0.3709,0.3479,0.5242,0.5193,0.2836,0.4288,0.3938,0.5611,0.6516,0.6408,0.6379,0.3423,0.3714,0.2259,0.4430,0.4430
0055,0.7990,0.6901,0.6784,0.6499,0.5804,0.6749,0.8469,0.6963,0.5675,0.6162,0.5929,0.6941,0.6498,0.6267,0.7500,0.7045,0.6353,0.5532,0.5532
0056,0.7878,0.5225,0.4890,0.1347,0.7830,0.7402,0.6406,0.5573,0.6550,0.5975,0.2764,0.2764,0.3123,0.3123,0.2593,0.1952,0.3910,0.1151,0.1151
0057,0.6519,0.6281,0.5712,0.7246,0.6505,0.5043,0.7154,0.6077,0.5194,0.6431,0.0079,0.0079,0.0398,0.0398,0.6009,0.5610,0.6894,0.5447,0.5447
0058,0.7865,0.5643,0.7627,0.6949,0.6877,0.7011,0.7228,0.7259,0.7075,0.5414,0.6800,0.6800,0.7900,0.7900,0.8227,0.6627,0.6002,0.6262,0.6262
0059,0.9755,1.0000,0.9913,0.7020,0.4426,0.7347,0.7254,0.5798,0.6645,0.6776,0.1879,0.1879,0.1871,0.1871,0.8136,0.6297,0.5200,0.6414,0.6414
0060,0.7542,0.5450,0.7558,0.4056,0.8884,0.8000,0.5400,0.4166,0.6351,0.6580,0.5007,0.5007,0.5007,0.5007,0.3144,0.3026,0.3106,0.2936,0.2936
0061,0.4411,0.6437,0.3038,0.2684,0.4314,0.3310,0.4570,0.5937,0.4006,0.5022,0.2019,0.2019,0.1947,0.1947,0.4932,0.2652,0.5655,0.4767,0.4767
0062,0.8644,0.7751,0.7177,0.7811,0.7119,0.8132,0.8740,0.8889,0.8220,0.7687,0.4147,0.4147,0.4244,0.4244,0.6771,0.2777,0.5038,0.7240,0.7240
0063,0.6802,0.6533,0.6202,0.6960,0.5945,0.5899,0.6275,0.4993,0.7027,0.5261,0.6365,0.6365,0.3307,0.3307,0.7005,0.6797,0.6466,0.7294,0.7294
0064,0.4799,0.6321,0.4908,0.7035,0.8774,0.4704,0.3596,0.2372,0.5510,0.4993,0.0192,0.0192,0.0167,0.0167,0.3489,0.3016,0.4109,0.2442,0.2442
0065,0.6227,0.6555,0.5447,0.6196,0.6403,0.6226,0.6320,0.6633,0.6429,0.6158,0.3262,0.3262,0.2870,0.2870,0.6332,0.6563,0.6474,0.6014,0.6014
0066,0.5019,0.4756,0.6469,0.6181,0.7294,0.6170,0.7977,0.5175,0.4918,0.7982,0.2189,0.2892,0.1782,0.1500,0.6011,0.3889,0.5325,0.3222,0.3222
0067,0.3014,0.1880,0.4356,0.3777,0.4712,0.4747,0.2699,0.1004,0.3165,0.3755,0.1706,0.1706,0.1503,0.1503,0.0981,0.2467,0.0446,0.2310,0.2310
0068,0.3687,0.2854,0.2541,0.2111,0.4411,0.3815,0.4021,0.5111,0.0913,0.4036,0.6173,0.6173,0.5547,0.5547,0.1576,0.1204,0.0461,0.1867,0.1867
0069,0.7654,0.7984,0.4617,0.6888,0.5245,0.7617,0.7430,0.8735,0.4780,0.8520,0.7695,0.7695,0.7448,0.7448,0.7613,0.4795,0.5593,0.6717,0.6717
0070,0.0073,0.2094,0.2950,0.0724,0.2920,0.1852,0.0499,0.2453,0.0593,0.0958,0.0000,0.0000,0.0000,0.0000,0.2948,0.0413,0.1024,0.1016,0.1016
0071,0.6012,0.0742,0.7911,0.2094,0.7100,0.5677,0.2801,0.1496,0.7260,0.7228,0.0000,0.0000,0.0148,0.0148,0.0077,0.2065,0.0339,0.1223,0.1223
0072,0.7915,0.6860,0.7294,0.7267,0.8387,0.5241,0.4800,0.1815,0.5799,0.5946,0.7551,0.7551,0.7551,0.7551,0.3720,0.4544,0.4480,0.5438,0.5438
0073,0.6483,0.5318,0.6150,0.6606,0.4962,0.7994,0.8109,0.8354,0.7879,0.6527,0.4950,0.4950,0.3934,0.3934,0.3758,0.1897,0.5105,0.0881,0.0881
0074,0.5877,0.6282,0.6738,0.3145,0.8819,0.6267,0.6163,0.5816,0.6753,0.5755,0.4065,0.4065,0.2050,0.2050,0.0294,0.4103,0.0921,0.1294,0.1294
0075,0.6200,0.5297,0.5255,0.5172,0.5162,0.6096,0.6462,0.5464,0.4540,0.4682,0.1250,0.1250,0.1785,0.1785,0.7739,0.6891,0.8559,0.6387,0.6387
0076,0.6625,0.3519,0.8199,0.7877,0.6027,0.7250,0.6500,0.7747,0.6229,0.7110,0.0652,0.0652,0.0571,0.0571,0.5760,0.4614,0.3890,0.4286,0.4286
0077,0.7692,0.6956,0.7829,0.8057,0.5248,0.5773,0.4971,0.1691,0.3231,0.3108,0.1546,0.5974,0.6058,0.5480,0.2075,0.4286,0.0792,0.3670,0.3670
0078,0.5532,0.6135,0.6644,0.6886,0.7136,0.6754,0.6352,0.7772,0.6360,0.5989,0.3941,0.3941,0.4097,0.4097,0.3619,0.5244,0.2659,0.4865,0.4865
0079,0.3048,0.3280,0.3931,0.2285,0.4405,0.5805,0.2387,0.0458,0.5058,0.4153,0.0186,0.0186,0.0260,0.0260,0.1073,0.5391,0.0660,0.0328,0.0328
0080,0.8964,0.9198,0.9087,0.9222,0.9391,0.8130,0.8633,0.9363,0.8022,0.7390,0.2741,0.2741,0.3129,0.3129,0.9905,0.6537,0.8283,0.6265,0.6265
0081,0.9016,0.6589,0.9200,0.5569,0.7854,0.9049,0.7007,0.5332,0.8436,0.6671,0.3739,0.3739,0.1413,0.1413,0.2245,0.2551,0.3845,0.1356,0.1356
0082,0.8830,0.7925,0.8746,0.8041,0.8031,0.8073,0.9415,0.8591,0.8854,0.9151,0.3892,0.3303,0.3221,0.3221,0.8592,0.1992,0.2443,0.6337,0.6337
0083,0.8706,0.6777,0.8323,0.8293,0.5817,0.8028,0.8469,0.4243,0.6777,0.4567,0.0343,0.0343,0.2034,0.2034,0.5061,0.1346,0.5790,0.5612,0.5612
0084,0.2783,0.3085,0.4350,0.3405,0.5531,0.4287,0.4251,0.3774,0.4058,0.4130,0.1278,0.1278,0.1761,0.1761,0.1869,0.2399,0.1701,0.1178,0.1178
0085,0.6884,0.7082,0.5237,0.0872,0.7893,0.8945,0.5687,0.6533,0.8210,0.7135,0.4462,0.4462,0.1038,0.1038,0.1867,0.2739,0.4513,0.0081,0.0081
0086,0.2705,0.3176,0.4643,0.5725,0.1938,0.1740,0.3349,0.1414,0.5986,0.4477,0.0982,0.0982,0.0178,0.0178,0.5429,0.4433,0.0549,0.3064,0.3064
0087,0.4269,0.4028,0.3077,0.2582,0.1953,0.6291,0.2554,0.2080,0.3306,0.2181,0.4062,0.4062,0.3267,0.3267,0.3927,0.2171,0.2636,0.1997,0.1997
0088,0.6187,0.6458,0.6205,0.6733,0.6755,0.6615,0.5920,0.6850,0.7514,0.6864,0.1529,0.1529,0.0809,0.0809,0.6767,0.2095,0.5165,0.2553,0.2553
0089,0.6475,0.6566,0.6236,0.3925,0.4552,0.5787,0.6782,0.7677,0.5820,0.6412,0.3009,0.3009,0.2790,0.2790,0.6436,0.6704,0.4281,0.5152,0.5152
0090,0.5152,0.5594,0.5152,0.5594,0.5594,0.7163,0.6926,0.6884,0.4693,0.4825,0.5517,0.5517,0.4177,0.4177,0.6496,0.5004,0.3956,0.4526,0.4526
0091,0.8645,0.8888,0.8739,0.8052,0.7822,0.8008,0.9282,0.2146,0.7988,0.6206,0.0367,0.0367,0.0000,0.0000,0.6278,0.1957,0.4234,0.2232,0.2232
0092,0.7416,0.7225,0.6605,0.6630,0.6713,0.7280,0.7915,0.7750,0.6402,0.8154,0.5146,0.5146,0.4637,0.4637,0.2178,0.4512,0.3084,0.3437,0.3437
0093,0.7083,0.6806,0.7303,0.5323,0.6911,0.6977,0.7265,0.5872,0.5455,0.6814,0.4916,0.4916,0.3073,0.3073,0.1827,0.1649,0.1842,0.1574,0.1574
0094,0.5113,0.5540,0.5155,0.4704,0.5537,0.3517,0.3683,0.5824,0.4649,0.4614,0.5158,0.5455,0.5104,0.5498,0.6774,0.7080,0.5388,0.6566,0.6566
0095,0.7527,0.7909,0.5394,0.4225,0.6373,0.4843,0.7794,0.3370,0.5132,0.5351,0.5485,0.5485,0.3859,0.3859,0.6490,0.1988,0.5026,0.4418,0.4418
0096,0.5316,0.5341,0.3448,0.3378,0.3373,0.3190,0.4589,0.3878,0.3717,0.4736,0.8572,0.8572,0.7976,0.7976,0.4648,0.3353,0.3905,0.3854,0.3854
0097,0.5274,0.6195,0.3161,0.5854,0.3456,0.5731,0.7015,0.0077,0.5453,0.5880,0.4349,0.4349,0.4044,0.4044,0.0493,0.2640,0.1703,0.2313,0.2313
0098,0.7835,0.4998,0.9224,0.8058,0.4972,0.9295,0.8942,0.8722,0.8719,0.8905,0.5070,0.5070,0.1667,0.1667,0.6105,0.3806,0.4050,0.3921,0.3921
0099,0.8015,0.7881,0.9613,0.9835,0.6962,0.8699,0.8166,0.9092,0.7285,0.6820,0.0000,0.0000,0.0000,0.0000,0.6055,0.9383,0.3923,0.6896,0.6896
0100,0.3198,0.4760,0.2792,0.4613,0.6228,0.2892,0.1904,0.2407,0.4528,0.5404,0.6520,0.6520,0.6358,0.6358,0.4306,0.2904,0.1742,0.2220,0.2220
