,RMIT-E-NU-Own-1,RMIT-E-NU-Own-2,RMIT-E-NU-Own-3,RMIT-E-NU-Own-4,RUCIR-E-NU-Base-1,RUCIR-E-NU-Base-2,RUCIR-E-NU-Base-3,RUCIR-E-NU-Base-4,RUCIR-E-NU-Base-5,THUIR-E-PU-Base-1,THUIR-E-PU-Base-2,THUIR-E-PU-Base-3,THUIR-E-PU-Base-4
0013,0.6636,0.5269,0.4637,0.5608,0.5453,0.5020,0.6874,0.5631,0.5891,0.4657,0.5089,0.4624,0.3020
0014,0.1310,0.0000,0.0000,0.0000,0.1908,0.2441,0.0197,0.3203,0.3422,0.1957,0.3670,0.2438,0.2977
0015,0.7626,0.7158,0.5273,0.5723,0.7921,0.6818,0.7547,0.6618,0.5910,0.7288,0.9361,0.8349,0.4289
0016,0.5426,0.5293,0.4199,0.5717,0.3502,0.1920,0.2330,0.4176,0.4158,0.6491,0.2563,0.4403,0.3100
0017,0.7500,0.4469,0.3837,0.3896,0.1030,0.3155,0.1892,0.3526,0.3861,0.1352,0.4505,0.2310,0.5350
0018,0.7194,0.6567,0.6677,0.6723,0.8275,0.5179,0.6393,0.7078,0.7042,0.7656,0.8179,0.8481,0.5728
0019,0.9834,0.9567,0.9392,0.9462,0.9643,0.7812,0.7379,0.4557,0.3905,0.9817,0.8064,0.8819,0.0899
0020,0.6867,0.6969,0.5925,0.6572,0.6791,0.4635,0.4173,0.3598,0.5245,0.7200,0.8405,0.7662,0.3436
0021,0.8914,0.6927,0.7466,0.6061,0.6125,0.0000,0.7109,0.3768,0.0000,0.8723,0.3554,0.4357,0.0201
0022,0.5310,0.6757,0.7198,0.8877,0.6892,0.4256,0.2581,0.4297,0.2387,0.4613,0.5236,0.4963,0.1831
0023,0.5753,0.0000,0.0000,0.3138,0.1569,0.0000,0.0000,0.0000,0.0000,0.0559,0.2015,0.2190,0.0000
0024,0.5325,0.5298,0.4396,0.4509,0.4231,0.6404,0.5115,0.4897,0.5530,0.4964,0.4857,0.6598,0.5639
0025,0.7933,0.8014,0.7719,0.7936,0.6752,0.2984,0.1005,0.2247,0.1826,0.8061,0.6189,0.4725,0.2173
0026,0.4591,0.8491,0.5433,0.8704,0.8942,0.3611,0.5463,0.3163,0.5878,0.7213,0.8827,0.8433,0.7290
0027,0.0000,0.0000,0.0424,0.2815,0.0000,0.2183,0.0469,0.0501,0.0704,0.0000,0.1407,0.1952,0.1212
0028,0.7537,0.4837,0.6115,0.0559,0.3691,0.6525,0.6007,0.6438,0.7287,0.7644,0.8639,0.8639,0.0914
0029,0.6337,0.5559,0.7113,0.7519,0.8217,0.5726,0.3698,0.1673,0.1446,0.1864,0.6370,0.6389,0.1034
0030,0.9684,0.9495,0.8312,1.0000,0.8487,0.7605,0.8410,0.7118,0.7519,0.6794,0.8533,0.8533,0.6858
0031,0.5097,0.2712,0.2771,0.3596,0.1669,0.4020,0.4481,0.1042,0.0867,0.4087,0.5108,0.4935,0.3060
0032,0.6645,0.5060,0.6049,0.5368,0.6525,0.7058,0.6881,0.0000,0.2499,0.0000,0.4264,0.4536,0.0000
0033,0.6165,0.4347,0.6562,0.6410,0.6225,0.6323,0.3378,0.2381,0.4243,0.5367,0.4538,0.6137,0.0561
0034,0.0997,0.0665,0.1315,0.2675,0.3301,0.4011,0.2817,0.3563,0.2970,0.0678,0.0976,0.1565,0.1565
0035,0.7798,0.7380,0.8484,0.5458,0.7683,0.6603,0.2557,0.5009,0.4737,0.7614,0.9164,0.8888,0.2416
0036,0.6090,0.6140,0.5417,0.7482,0.5147,0.4426,0.3304,0.5130,0.5897,0.4360,0.8552,0.8794,0.2620
0037,0.6339,0.5511,0.5305,0.4672,0.5190,0.3216,0.5809,0.1791,0.1600,0.6753,0.6979,0.3591,0.2053
0038,0.6135,0.2718,0.3565,0.4624,0.1783,0.3832,0.0270,0.3650,0.3177,0.1520,0.3254,0.3192,0.1298
0039,0.6905,0.2853,0.3756,0.0000,0.5307,0.0275,0.9337,0.8298,0.7663,0.5577,0.3255,0.5418,0.1939
0040,0.8369,0.6596,0.6234,0.2851,0.4069,0.4202,0.4412,0.5682,0.6376,0.6434,0.0431,0.0683,0.7301
0041,0.2821,0.1454,0.1495,0.2243,0.2496,0.2543,0.5029,0.1815,0.3795,0.1601,0.5568,0.5036,0.2092
0042,0.7304,0.7500,0.7182,0.7326,0.7829,0.8383,0.6655,0.8171,0.7775,0.7500,0.8045,0.8246,0.6867
0043,0.5347,0.3992,0.5828,0.7650,0.0348,0.0745,0.1065,0.1202,0.0602,0.0932,0.2776,0.7312,0.1169
0044,0.9209,0.2679,0.2624,0.3629,0.4516,0.1018,0.0550,0.4643,0.3800,0.8202,0.7500,0.8038,0.4921
0045,0.7420,0.3127,0.4672,0.3543,0.0524,0.2910,0.3915,0.0240,0.0740,0.0882,0.0262,0.0831,0.0558
0046,0.8482,0.6198,0.6877,0.7554,0.1289,0.0166,0.4775,0.1502,0.3392,0.6021,0.6023,0.6503,0.1947
0047,0.8913,0.5870,0.6595,0.7520,0.2351,0.1920,0.2083,0.3576,0.2992,0.6749,0.1890,0.4136,0.1337
0048,0.7073,0.5761,0.6225,0.6088,0.6365,0.3259,0.3691,0.1457,0.1899,0.3819,0.6654,0.6687,0.2283
0049,0.8502,0.6541,0.6815,0.6950,0.7077,0.3905,0.7185,0.7775,0.7659,0.6923,0.8342,0.9220,0.6586
0050,0.6156,0.8330,0.6940,0.8010,0.6757,0.6492,0.7025,0.6484,0.7362,0.7984,0.8716,0.8164,0.4223
0051,0.9240,0.9574,1.0000,1.0000,0.9182,0.9450,0.9139,0.9286,0.8808,0.9237,0.8678,0.8490,0.8323
0052,0.5083,0.0548,0.1487,0.0317,0.0972,0.0330,0.0000,0.0330,0.0390,0.5141,0.5711,0.4528,0.0000
0053,0.8637,0.8640,0.8285,0.8656,0.5450,0.0200,0.2147,0.4129,0.3878,0.5703,0.1597,0.0975,0.1574
0054,0.5726,0.4801,0.4801,0.4801,0.3179,0.1891,0.3663,0.4506,0.3712,0.7129,0.5410,0.5601,0.0995
0055,0.2584,0.3067,0.3547,0.3116,0.6435,0.0548,0.1473,0.3116,0.0865,0.1917,0.4058,0.5986,0.2110
0056,0.6463,0.2626,0.2684,0.2558,0.0246,0.0000,0.0636,0.0277,0.0000,0.0778,0.0000,0.0000,0.0000
0057,0.6415,0.6415,0.6415,0.6487,0.7077,0.5709,0.6648,0.6415,0.5524,0.6210,0.5755,0.4949,0.6415
0058,0.0000,0.5601,0.6995,0.7837,0.1069,0.2776,0.3279,0.0000,0.0000,0.2564,0.5901,0.6362,0.2024
0059,0.9261,0.8783,0.8941,0.8196,0.7623,0.1795,0.6087,0.5141,0.6838,0.4738,0.4894,0.6744,0.4085
0060,0.9276,0.7139,0.7225,0.7345,0.6386,0.2370,0.1058,0.0698,0.2938,0.6357,0.4024,0.5863,0.0639
0061,0.8900,1.0000,0.9682,1.0000,1.0000,1.0000,1.0000,0.3539,0.5225,0.3485,0.6030,0.7500,0.2536
0062,0.2902,0.0312,0.0312,0.0334,0.0000,0.0000,0.0583,0.0271,0.0000,0.0469,0.0000,0.0000,0.0616
0063,0.4004,0.0736,0.2801,0.1531,0.0977,0.2653,0.1304,0.0659,0.0587,0.3011,0.0249,0.0306,0.0000
0064,0.4331,0.0821,0.0000,0.1435,0.0353,0.0821,0.0000,0.0000,0.0000,0.3748,0.0000,0.0000,0.3639
0065,0.5412,0.2806,0.2611,0.2806,0.1967,0.3169,0.4251,0.3078,0.0504,0.4820,0.3821,0.3988,0.1835
0066,1.0000,0.9408,0.9787,0.6749,0.8342,0.7802,0.7404,0.7105,0.4725,1.0000,0.8768,0.8528,0.7412
0067,0.1268,0.2114,0.1522,0.1612,0.4744,0.2522,0.3554,0.3593,0.2780,0.5292,0.2119,0.3304,0.1817
0068,0.2661,0.0655,0.1502,0.1966,0.5341,0.5479,0.3186,0.0000,0.0394,0.2621,0.4809,0.6322,0.1966
0069,0.8665,0.7500,0.7500,0.7341,0.8101,0.8091,0.8701,0.7828,0.7334,0.8863,0.7794,0.9116,0.7435
0070,0.5013,0.7668,0.7637,0.3721,0.5892,0.5331,0.6722,0.5509,0.5640,0.6356,0.6897,0.5651,0.2841
0071,0.7528,0.2476,0.6457,0.4901,0.5175,0.6128,0.4703,0.0918,0.2719,0.7734,0.6502,0.7896,0.3309
0072,0.7500,0.7500,0.7500,0.7500,0.8232,0.9054,0.7737,0.7263,0.7041,0.7438,0.6950,0.7579,0.6966
0073,0.5841,0.6625,0.6179,0.7694,0.5932,0.5974,0.6197,0.5728,0.6384,0.5788,0.9093,0.8051,0.5433
0074,0.6866,0.5703,0.6209,0.7644,0.5583,0.5475,0.1776,0.1799,0.1983,0.6234,0.1656,0.1656,0.1771
0075,0.7485,0.5367,0.5382,0.5838,0.5353,0.0633,0.4214,0.7466,0.4987,0.7529,0.2893,0.2578,0.3176
0076,0.9102,0.4734,0.6319,0.4279,0.3493,0.0000,0.1402,0.0880,0.0658,0.5781,0.4847,0.5532,0.0000
0077,0.2060,0.5061,0.7225,0.6045,0.6832,0.6456,0.5430,0.4623,0.5887,0.6209,0.7290,0.7415,0.5198
0078,0.7845,0.6346,0.6108,0.6300,0.4965,0.0914,0.1573,0.2073,0.0284,0.7669,0.3680,0.3783,0.0284
0079,0.8659,0.8044,0.8842,0.8190,0.5764,0.5548,0.5760,0.5959,0.5543,0.7414,0.3881,0.5110,0.4841
0080,0.6070,0.2293,0.3007,0.2889,0.3345,0.4887,0.5585,0.1966,0.3029,0.5296,0.0207,0.2621,0.0218
0081,0.8900,0.7562,0.6620,0.8486,0.7833,0.5175,0.8689,0.8038,0.7892,0.9096,0.8282,0.9432,0.7240
0082,0.9198,0.6085,0.5303,0.6440,0.8096,0.5904,0.6994,0.3891,0.4557,0.6132,0.0948,0.5876,0.2056
0083,0.4751,0.3462,0.3462,0.3855,0.4225,0.5119,0.4582,0.0000,0.0791,0.3030,0.3783,0.2623,0.0189
0084,0.9085,0.7689,0.8427,0.8427,0.9682,0.8580,0.9817,0.1881,0.2320,0.8672,0.9378,0.9469,0.0370
0085,0.3186,0.2322,0.4342,0.2164,0.3442,0.2552,0.0682,0.1072,0.3039,0.2231,0.3075,0.5085,0.2367
0086,0.6178,0.8380,0.8707,0.8015,0.5980,0.3992,0.4174,0.3867,0.4451,0.4797,0.4530,0.3044,0.2518
0087,0.6667,0.6139,0.5551,0.6383,0.5256,0.4242,0.4074,0.4764,0.4050,0.5036,0.6329,0.7228,0.4993
0088,0.5010,0.5289,0.5564,0.7708,0.6578,0.4617,0.7459,0.4714,0.4155,0.6220,0.7986,0.9303,0.3543
0089,0.4748,0.7186,0.6808,0.0196,0.3877,0.3530,0.3307,0.6770,0.4281,0.5538,0.4859,0.6813,0.3921
0090,0.3642,0.4268,0.3239,0.3851,0.3595,0.3787,0.4363,0.6264,0.6487,0.4095,0.3284,0.5206,0.2713
0091,0.7334,0.7197,0.7112,0.7634,0.7126,0.7062,0.7301,0.5207,0.4854,0.6052,0.7269,0.8773,0.4294
0092,0.6204,0.6924,0.4902,0.6872,0.4519,0.6662,0.7226,0.6626,0.4955,0.6162,0.6446,0.5333,0.6745
0093,0.5971,0.5558,0.6152,0.6584,0.3491,0.3415,0.2024,0.2776,0.3645,0.3408,0.1324,0.2486,0.0480
0094,0.9329,0.5798,0.5778,0.5584,0.9132,0.8537,0.4242,0.4439,0.6360,0.7889,0.9367,0.8457,0.3398
0095,0.4156,0.5382,0.5288,0.4256,0.5880,0.6539,0.4321,0.3155,0.3105,0.5048,0.5545,0.5099,0.1488
0096,0.4044,0.3855,0.3469,0.4199,0.3472,0.4831,0.3778,0.4713,0.4081,0.4123,0.3014,0.3138,0.2075
0097,0.8798,0.7987,0.7589,0.5738,0.6828,0.2707,0.7170,0.5689,0.6103,0.6630,0.7531,0.7657,0.4367
0098,0.6183,0.7854,0.6984,0.8168,0.9052,0.9317,0.8873,0.4518,0.6434,0.8295,0.7298,0.8836,0.7349
0099,0.9227,0.8291,0.8279,0.7592,0.7490,0.3972,0.2407,0.2654,0.2545,0.7079,1.0000,0.8249,0.2186
0100,0.7002,0.7371,0.6390,0.7659,0.8877,0.7107,0.7906,0.8066,0.8320,0.7167,0.9077,0.9318,0.8599
