,RMIT-E-NU-Own-1,RMIT-E-NU-Own-2,RMIT-E-NU-Own-3,RMIT-E-NU-Own-4,RUCIR-E-NU-Base-1,RUCIR-E-NU-Base-2,RUCIR-E-NU-Base-3,RUCIR-E-NU-Base-4,RUCIR-E-NU-Base-5,THUIR-E-PU-Base-1,THUIR-E-PU-Base-2,THUIR-E-PU-Base-3,THUIR-E-PU-Base-4
0016,0.8013,0.6027,0.5612,0.9823,0.7715,0.3038,0.5283,0.5998,0.7935,0.6997,0.1940,0.3682,0.3733
0017,0.8584,0.7557,0.4729,0.4975,0.1585,0.4895,0.3635,0.3679,0.7918,0.3014,0.5962,0.3539,0.7933
0018,0.7221,0.8368,0.6868,0.8312,0.8621,0.6728,0.8497,0.8535,0.5983,0.8584,0.8575,0.8594,0.5454
0019,1.0000,0.9999,0.9991,1.0000,1.0000,1.0000,0.8795,0.7969,0.4482,1.0000,0.9999,1.0000,0.1330
0020,0.6027,0.8295,0.5845,0.6016,0.9775,0.9507,0.5329,0.4609,0.7182,0.8256,0.8672,0.8657,0.5654
0021,0.9987,0.8761,0.9892,0.8114,0.8781,0.0000,0.9967,0.6280,0.0000,0.9914,0.9635,0.9590,0.0320
0022,0.6845,0.9718,0.9823,0.9991,0.9974,0.4921,0.4827,0.5369,0.5443,0.5707,0.9621,0.9694,0.2934
0023,0.7092,0.0000,0.0000,0.9060,0.4530,0.0000,0.0000,0.0000,0.0000,0.0755,0.2718,0.2944,0.0000
0024,0.6646,0.8176,0.4927,0.6742,0.4925,0.6469,0.6435,0.6710,0.8714,0.6394,0.5392,0.5965,0.7073
0025,0.9884,0.8579,0.8544,0.8545,0.6263,0.3457,0.1878,0.5408,0.2328,0.9855,0.9793,0.9787,0.3809
0026,0.6881,1.0000,0.5143,0.9966,0.8796,0.4481,0.8556,0.3371,0.9804,1.0000,0.8779,0.8792,0.9982
0027,0.0000,0.0000,0.0368,0.6619,0.0000,0.3508,0.0473,0.0552,0.1103,0.0000,0.3310,0.3839,0.1655
0028,0.8584,0.6697,0.8540,0.0840,0.8260,0.8580,0.8146,0.8369,0.7275,0.7275,0.9894,0.9894,0.1793
0029,0.9801,0.7243,0.8624,0.8774,0.9894,0.9951,0.5046,0.2253,0.2213,0.2667,0.7149,0.6602,0.2727
0030,0.9988,0.9997,0.6949,1.0000,0.9976,0.9624,0.8403,0.7438,0.8458,0.7735,0.6949,0.6949,0.9640
0031,0.6802,0.3002,0.4335,0.3657,0.3787,0.8195,0.3628,0.1091,0.1020,0.4940,0.7038,0.4167,0.4382
0032,0.8449,0.9562,0.9721,0.9722,0.9745,0.9983,0.9953,0.0000,0.4763,0.0000,0.9643,0.9612,0.0000
0033,0.9738,0.3566,0.9775,0.6959,0.8366,0.7519,0.4756,0.5374,0.8367,0.9673,0.4829,0.6288,0.0704
0034,0.0911,0.0672,0.1120,0.7045,0.7864,0.8155,0.4146,0.6101,0.3501,0.0701,0.1617,0.1773,0.1773
0035,0.6389,0.9997,0.9998,0.9988,0.9887,0.9908,0.4416,0.8684,0.9476,0.6385,0.9998,1.0000,0.7183
0036,0.7199,0.5703,0.5866,0.9968,0.6749,0.6802,0.4786,0.8341,0.8298,0.6710,0.8796,0.9991,0.3511
0037,0.8448,0.9712,0.9796,0.9445,0.5630,0.5636,0.8261,0.3173,0.2289,0.7264,0.5588,0.5671,0.3883
0038,0.8145,0.4427,0.4985,0.7191,0.1525,0.6503,0.0453,0.5178,0.3840,0.1975,0.9188,0.9149,0.3171
0039,0.5186,0.4817,0.9270,0.0000,0.8687,0.0747,1.0000,0.9974,0.9716,0.6772,0.3209,0.7712,0.4673
0040,0.7349,0.5837,0.6327,0.4896,0.4680,0.6231,0.6256,0.5432,0.8080,0.6921,0.1132,0.2265,0.7304
0041,0.1656,0.2502,0.4706,0.3801,0.3913,0.1967,0.6745,0.5154,0.5877,0.4482,0.8322,0.8208,0.3905
0042,0.8584,0.8584,0.8584,0.8584,0.8626,0.9894,0.8019,0.8626,0.8624,0.8584,0.9894,0.9894,0.8725
0043,0.6557,0.4481,0.6794,0.7204,0.0499,0.1658,0.1664,0.1674,0.1002,0.2753,0.4934,0.9549,0.1636
0044,0.9991,0.5674,0.5508,0.8100,0.5658,0.2191,0.2241,0.6828,0.5366,0.9795,0.8584,0.8585,0.5922
0045,0.5879,0.8213,0.8747,0.8485,0.1305,0.2336,0.5021,0.0261,0.0737,0.1828,0.0326,0.2611,0.0696
0046,0.9900,0.9681,0.7588,0.8587,0.2674,0.0249,0.9531,0.2817,0.4474,0.9670,0.9964,0.9957,0.3764
0047,0.9916,0.5684,0.7274,0.9799,0.5130,0.2791,0.2569,0.5131,0.2610,0.7163,0.2793,0.8629,0.4818
0048,0.8320,0.9772,0.6909,0.7006,0.8394,0.3039,0.5218,0.1698,0.5109,0.7917,0.8294,0.7163,0.3640
0049,0.9979,0.7269,0.6997,0.7275,0.7341,0.5228,0.8225,0.8624,0.8585,0.9978,0.9999,0.9999,0.8532
0050,0.6845,0.9874,0.6679,0.8584,0.8515,0.8231,0.8553,0.7246,0.8375,0.8575,0.9826,0.9769,0.6705
0051,0.9999,1.0000,1.0000,1.0000,0.9900,0.8796,0.9989,1.0000,0.9991,0.8796,0.8794,0.9896,0.7590
0052,0.6332,0.0879,0.2988,0.0264,0.1300,0.0293,0.0000,0.0293,0.0439,0.5060,0.8063,0.7328,0.0000
0053,0.9799,0.8586,0.8586,0.8586,0.8663,0.0280,0.2419,0.4830,0.6192,0.9596,0.3057,0.1619,0.1841
0054,0.9771,0.9101,0.9101,0.9101,0.8616,0.3772,0.7194,0.8911,0.4877,0.8449,0.9824,0.9828,0.2958
0055,0.4422,0.4956,0.5181,0.5053,0.9945,0.1376,0.2545,0.7676,0.1438,0.2985,0.5144,0.8709,0.4082
0056,0.9644,0.5521,0.5604,0.5350,0.0281,0.0000,0.0920,0.0374,0.0000,0.0962,0.0000,0.0000,0.0000
0057,0.6839,0.6839,0.6839,0.6736,0.9619,0.5384,0.6313,0.6839,0.6170,0.6837,0.7449,0.4668,0.6839
0058,0.0000,0.8384,0.8577,0.9780,0.3141,0.2506,0.4676,0.0000,0.0000,0.3859,0.6839,0.6853,0.3951
0059,1.0000,0.9917,0.9917,0.9864,0.9880,0.4033,0.9959,0.7285,0.7588,0.7298,0.5100,0.9866,0.9341
0060,0.8867,0.8606,0.8445,0.8607,0.8450,0.4037,0.1812,0.0873,0.7238,0.4701,0.3833,0.8436,0.0726
0061,0.7593,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6549,0.7461,0.6439,0.5101,0.9996,0.6111
0062,0.2759,0.0324,0.0324,0.0378,0.0000,0.0000,0.0505,0.0227,0.0000,0.0756,0.0000,0.0000,0.0579
0063,0.5263,0.1208,0.3814,0.1767,0.1504,0.6947,0.2706,0.1014,0.0755,0.4027,0.0283,0.0453,0.0000
0064,0.3994,0.0875,0.0000,0.1696,0.0328,0.0875,0.0000,0.0000,0.0000,0.5727,0.0000,0.0000,0.7259
0065,0.9521,0.4422,0.4382,0.4422,0.2639,0.4622,0.3224,0.5751,0.0971,0.9631,0.6506,0.6511,0.2336
0066,1.0000,1.0000,1.0000,0.9944,0.9832,0.9991,0.6338,0.9996,0.9445,1.0000,0.8796,0.7592,0.9981
0067,0.1620,0.2677,0.2537,0.2611,0.9758,0.4287,0.4561,0.3507,0.6046,0.9493,0.6946,0.7343,0.2225
0068,0.7358,0.2243,0.3589,0.6730,0.8352,0.6338,0.7470,0.0000,0.0499,0.8973,0.7789,0.8757,0.6730
0069,0.9914,0.8584,0.8584,0.8584,0.8754,0.9899,0.9988,0.9893,0.8584,0.9999,0.8629,0.9989,0.8793
0070,0.4504,0.8433,0.9548,0.6575,0.8424,0.4802,0.9739,0.5783,0.9293,0.9561,0.9808,0.4844,0.5012
0071,0.9996,0.7618,0.8558,0.9824,0.7902,0.8764,0.8768,0.1212,0.4287,0.8745,0.9786,0.8775,0.7652
0072,0.8584,0.8584,0.8584,0.8584,0.9911,0.8794,0.8594,0.8575,0.8544,0.8549,0.8505,0.8624,0.8752
0073,0.6849,0.8533,0.8496,0.8774,0.9818,0.6963,0.8376,0.6882,0.7272,0.7248,1.0000,0.8629,0.7490
0074,0.9826,0.7483,0.9691,0.9968,0.9856,0.9808,0.2302,0.2008,0.2663,0.8700,0.1693,0.1693,0.2556
0075,0.8584,0.9686,0.8339,0.8291,0.9950,0.1255,0.9605,0.8629,0.5897,0.8594,0.3198,0.3316,0.6190
0076,1.0000,0.9953,0.9978,0.9898,0.3406,0.0000,0.1320,0.1793,0.0896,0.5185,0.9979,0.9987,0.0000
0077,0.3055,0.5406,0.8545,0.8540,0.8751,0.8558,0.8201,0.6514,0.4743,0.8543,0.7241,0.8548,0.6931
0078,0.9962,0.9774,0.9700,0.9751,0.6002,0.1763,0.4751,0.3597,0.0560,0.9907,0.9172,0.5265,0.0560
0079,0.9991,0.9894,0.8779,0.8774,0.6527,0.7083,0.8533,0.8310,0.7179,0.8779,0.6593,0.7489,0.6527
0080,0.8191,0.7029,0.7370,0.7193,0.6829,0.8416,0.8085,0.4636,0.5330,0.5696,0.0280,0.8973,0.0320
0081,0.9861,0.9306,0.5336,0.9990,0.9664,0.7232,0.8455,0.8363,0.8024,0.9936,0.9982,0.9994,0.9276
0082,0.9991,0.7516,0.6928,0.9860,0.9997,0.9968,0.9882,0.6331,0.7137,0.9580,0.2241,0.9988,0.1992
0083,0.6257,0.9299,0.9299,0.9635,0.9333,0.9409,0.6334,0.0000,0.0829,0.4918,0.6763,0.3562,0.0224
0084,1.0000,0.8756,0.9892,0.9892,1.0000,1.0000,1.0000,0.3280,0.4773,0.8794,0.9900,0.9917,0.0598
0085,0.5573,0.5921,0.6503,0.2837,0.4684,0.6070,0.0818,0.1363,0.6304,0.3360,0.5802,0.8209,0.9013
0086,0.5890,0.8632,0.9973,0.8252,0.7666,0.5058,0.5270,0.4644,0.5290,0.7147,0.5354,0.4738,0.2981
0087,0.7966,0.7912,0.7788,0.7943,0.6251,0.5284,0.5332,0.7215,0.5317,0.6017,0.8324,0.8277,0.8131
0088,0.9726,0.7050,0.7472,0.7094,0.9771,0.6772,0.9987,0.6872,0.6168,0.7063,0.9916,1.0000,0.5607
0089,0.6816,0.6354,0.6354,0.0373,0.7100,0.4882,0.4700,0.9981,0.4951,0.6378,0.6518,0.5910,0.4851
0090,0.5199,0.5534,0.3473,0.7442,0.5498,0.5356,0.7051,0.9487,0.9343,0.5848,0.3898,0.5825,0.4987
0091,0.8584,0.8594,0.8382,0.8772,0.8583,0.8578,0.8614,0.6636,0.5259,0.5965,0.8795,1.0000,0.6279
0092,0.7576,0.9653,0.5183,0.9640,0.7184,0.7966,0.8437,0.7959,0.5701,0.7939,0.7963,0.6164,0.9653
0093,0.8351,0.6897,0.6896,0.6914,0.6323,0.4686,0.3080,0.5444,0.5939,0.3957,0.1922,0.2466,0.0679
0094,0.9989,0.9749,0.9751,0.8438,0.9917,1.0000,0.6876,0.7029,0.7511,0.9975,0.9999,0.9998,0.5668
0095,0.5188,0.6253,0.7434,0.6479,0.8719,0.8757,0.9475,0.9142,0.4902,0.6800,0.6846,0.6818,0.2031
0096,0.5082,0.5107,0.5871,0.5335,0.4427,0.7045,0.4977,0.5711,0.4943,0.5383,0.4536,0.7420,0.4717
0097,1.0000,1.0000,0.9999,0.7037,0.9993,0.9102,0.9983,0.8609,0.7277,0.9964,0.8630,0.8617,0.7950
0098,0.6911,0.8417,0.7324,0.8671,0.8674,0.8676,0.8676,0.4355,0.7288,0.8667,0.8385,0.8673,0.7279
0099,0.9874,0.7293,0.8419,0.8413,0.9942,0.9371,0.3875,0.4355,0.4138,0.9736,1.0000,0.9861,0.3325
0100,0.8584,0.8585,0.6985,0.8585,1.0000,0.9752,0.8766,0.9826,0.8625,0.8584,1.0000,1.0000,0.9899
