,CMUIR-C-NU-Base-1,CMUIR-C-NU-Base-2,CMUIR-C-NU-Base-3,CMUIR-C-NU-Base-4,CMUIR-C-NU-Base-5,RUCIR-C-NU-Base-1,RUCIR-C-NU-Base-2,RUCIR-C-NU-Base-3,RUCIR-C-NU-Base-4,RUCIR-C-NU-Base-5,SLWWW-C-NU-Base-1,SLWWW-C-NU-Base-2,SLWWW-C-NU-Base-3,SLWWW-C-NU-Base-4,THUIR-C-CU-Base-1,THUIR-C-CU-Base-2,THUIR-C-CU-Base-3,THUIR-C-CU-Base-4,THUIR-C-CU-Base-5
0038,0.5772,0.7250,0.8469,0.8690,0.8771,0.8307,0.8097,0.5612,0.8145,0.6297,0.5025,0.5025,0.4576,0.4576,0.2440,0.4882,0.1905,0.4720,0.4720
0039,0.7600,0.5144,0.5043,0.4040,0.7350,0.5211,0.5563,0.6064,0.4406,0.6841,0.0314,0.0314,0.0308,0.0308,0.3416,0.3300,0.3948,0.5743,0.5743
0040,0.6217,0.0450,0.7181,0.1336,0.2608,0.8281,0.8731,0.5503,0.7433,0.7909,0.2824,0.2824,0.2110,0.2110,0.0000,0.3096,0.0000,0.0234,0.0234
0041,0.4242,0.3630,0.4860,0.3910,0.5788,0.5693,0.7173,0.5351,0.5885,0.4522,0.0902,0.0902,0.0858,0.0858,0.6897,0.4046,0.4669,0.4217,0.4217
0042,0.3882,0.7192,0.4772,0.5441,0.2681,0.4514,0.6153,0.6039,0.2938,0.6385,0.7009,0.7009,0.5906,0.5906,0.5582,0.6798,0.3952,0.7466,0.7466
0043,0.4392,0.2207,0.5961,0.3857,0.4269,0.6852,0.6629,0.4684,0.6494,0.3268,0.0482,0.0482,0.0596,0.0596,0.5332,0.1913,0.1275,0.1808,0.1808
0044,0.5786,0.6082,0.6167,0.4349,0.4860,0.4117,0.6953,0.5287,0.3514,0.2708,0.2936,0.2936,0.2790,0.2790,0.6359,0.2475,0.4586,0.3123,0.3123
0045,0.6056,0.6773,0.5424,0.5107,0.6372,0.4991,0.5269,0.5619,0.4783,0.5897,0.5650,0.5650,0.3554,0.3554,0.5915,0.1913,0.4115,0.4490,0.4490
0046,0.5855,0.5742,0.5516,0.5322,0.7468,0.5356,0.7630,0.3201,0.5514,0.5071,0.4581,0.4718,0.5610,0.4324,0.5808,0.7005,0.5137,0.7020,0.7020
0047,0.5464,0.3495,0.6730,0.5105,0.5011,0.6074,0.6918,0.0134,0.1319,0.3949,0.0111,0.0111,0.0200,0.0200,0.1813,0.0040,0.2058,0.0540,0.0540
0048,0.6560,0.6624,0.6077,0.6288,0.8725,0.8441,0.7187,0.6293,0.7114,0.7725,0.1199,0.1199,0.1199,0.1199,0.7132,0.8232,0.3149,0.6052,0.6052
0049,0.3900,0.4866,0.5131,0.5295,0.3216,0.6822,0.5162,0.4758,0.4393,0.3640,0.2034,0.2034,0.5731,0.5731,0.3962,0.1512,0.1610,0.1315,0.1315
0050,0.6481,0.6222,0.7557,0.6378,0.6514,0.7299,0.5461,0.6329,0.5652,0.6073,0.4884,0.4884,0.3892,0.3892,0.6304,0.7069,0.5964,0.5321,0.5321
0051,0.9566,0.9469,0.8516,0.8880,0.9361,0.7227,0.9430,0.8909,0.9330,0.9351,0.3746,0.3746,0.3428,0.3428,0.9538,0.9294,0.8053,0.7585,0.7585
0052,0.5742,0.7236,0.6191,0.6175,0.6848,0.6959,0.6596,0.6636,0.6837,0.6877,0.3043,0.3043,0.1117,0.1117,0.7094,0.6120,0.4703,0.4525,0.4525
0053,0.6777,0.8355,0.7561,0.7737,0.5753,0.7528,0.7351,0.5040,0.6884,0.6365,0.0535,0.0535,0.0690,0.0690,0.6724,0.7058,0.6527,0.5000,0.5000
0054,0.3772,0.3450,0.4804,0.4298,0.4112,0.6047,0.5917,0.3430,0.4704,0.4493,0.6267,0.7005,0.6936,0.6788,0.3845,0.4091,0.2559,0.5089,0.5089
0055,0.8162,0.7259,0.6975,0.6907,0.6151,0.7304,0.8666,0.7062,0.6137,0.6217,0.6016,0.7235,0.6551,0.6422,0.7861,0.7122,0.6668,0.5918,0.5918
0056,0.8433,0.5000,0.4524,0.2241,0.8074,0.7979,0.7568,0.5691,0.7328,0.7064,0.2898,0.2898,0.2116,0.2116,0.2640,0.2612,0.3895,0.1181,0.1181
0057,0.6382,0.6966,0.6034,0.7316,0.7005,0.5052,0.7232,0.6298,0.5607,0.6504,0.0025,0.0025,0.0192,0.0192,0.6736,0.5702,0.7172,0.5518,0.5518
0058,0.7768,0.5753,0.7689,0.7017,0.7090,0.7262,0.7266,0.7542,0.7473,0.5741,0.6814,0.6814,0.8112,0.8112,0.8612,0.6872,0.6167,0.6561,0.6561
0059,0.9707,1.0000,0.9935,0.7872,0.5025,0.7323,0.7566,0.5960,0.7330,0.6925,0.1954,0.1954,0.1858,0.1858,0.8435,0.6876,0.5673,0.6940,0.6940
0060,0.8608,0.5871,0.7662,0.4279,0.9057,0.8808,0.6120,0.3857,0.7073,0.6614,0.5078,0.5078,0.5078,0.5078,0.3859,0.3498,0.3848,0.3496,0.3496
0061,0.4630,0.6520,0.3183,0.2812,0.4797,0.3945,0.5415,0.6235,0.4816,0.5476,0.2975,0.2975,0.2797,0.2797,0.4565,0.3404,0.5379,0.5117,0.5117
0062,0.8856,0.7723,0.6950,0.8329,0.7218,0.8488,0.8936,0.9000,0.8446,0.7652,0.3549,0.3549,0.3999,0.3999,0.7084,0.3369,0.4922,0.7460,0.7460
0063,0.6758,0.6051,0.6813,0.7391,0.6121,0.6171,0.6722,0.5577,0.7570,0.5934,0.6975,0.6975,0.3699,0.3699,0.7528,0.7318,0.6450,0.7658,0.7658
0064,0.4047,0.5746,0.3916,0.6080,0.8880,0.3278,0.2611,0.1958,0.3770,0.3770,0.0103,0.0103,0.0082,0.0082,0.2642,0.1704,0.3400,0.1948,0.1948
0065,0.6575,0.6843,0.6087,0.6665,0.6824,0.6481,0.6731,0.6791,0.6655,0.6217,0.2306,0.2306,0.2118,0.2118,0.6582,0.6658,0.6689,0.5816,0.5816
0066,0.5323,0.5340,0.6529,0.6670,0.8300,0.6197,0.8155,0.4748,0.4799,0.8043,0.2447,0.2763,0.1809,0.1934,0.6154,0.3601,0.5316,0.3608,0.3608
0067,0.2639,0.2228,0.4175,0.3922,0.3979,0.4576,0.2842,0.0942,0.2559,0.3200,0.1356,0.1356,0.1071,0.1071,0.0511,0.3190,0.0285,0.1530,0.1530
0068,0.3724,0.1980,0.1544,0.1727,0.3653,0.3391,0.3743,0.4116,0.0601,0.3223,0.6267,0.6267,0.5390,0.5390,0.1976,0.1113,0.0453,0.1998,0.1998
0069,0.7795,0.8030,0.3136,0.6564,0.5053,0.7917,0.7097,0.8497,0.4551,0.8799,0.7940,0.7940,0.7261,0.7261,0.7589,0.3773,0.4828,0.6743,0.6743
0070,0.0021,0.1391,0.1625,0.0150,0.1300,0.0905,0.0487,0.1293,0.0116,0.0326,0.0000,0.0000,0.0000,0.0000,0.1875,0.0187,0.0653,0.0300,0.0300
0071,0.5669,0.0411,0.7543,0.1329,0.6663,0.4360,0.3046,0.0832,0.6967,0.6701,0.0000,0.0000,0.0065,0.0065,0.0025,0.2241,0.0280,0.0700,0.0700
0072,0.8434,0.6826,0.6944,0.7045,0.8604,0.5494,0.5611,0.2043,0.6080,0.6093,0.7680,0.7680,0.7680,0.7680,0.4050,0.4819,0.4940,0.6171,0.6171
0073,0.7129,0.4560,0.6117,0.7117,0.4398,0.8474,0.8018,0.8522,0.8247,0.6317,0.5118,0.5118,0.3267,0.3267,0.2874,0.1743,0.5092,0.0605,0.0605
0074,0.3969,0.5120,0.6885,0.1955,0.9067,0.5916,0.5721,0.4950,0.6494,0.4828,0.2367,0.2367,0.1003,0.1003,0.0056,0.3047,0.0270,0.0494,0.0494
0075,0.6812,0.5568,0.5963,0.5808,0.5349,0.6604,0.6502,0.6149,0.5086,0.5067,0.1286,0.1286,0.1700,0.1700,0.7934,0.7379,0.9109,0.6778,0.6778
0076,0.6660,0.4066,0.8609,0.8204,0.6853,0.7014,0.6587,0.7916,0.6649,0.7557,0.0129,0.0129,0.0114,0.0114,0.6087,0.5444,0.3121,0.4787,0.4787
0077,0.8098,0.7250,0.8275,0.8566,0.5604,0.4697,0.5336,0.1267,0.3285,0.2419,0.1185,0.6777,0.6828,0.6061,0.2064,0.3219,0.0890,0.3313,0.3313
0078,0.6018,0.6191,0.6720,0.7154,0.6711,0.7418,0.6280,0.7777,0.6704,0.6579,0.3115,0.3115,0.3154,0.3154,0.3389,0.4183,0.1708,0.4874,0.4874
0079,0.2465,0.3509,0.2548,0.2068,0.4498,0.4903,0.2462,0.0203,0.6037,0.4395,0.0097,0.0097,0.0107,0.0107,0.0988,0.4640,0.0170,0.0238,0.0238
0080,0.9189,0.9167,0.9059,0.9358,0.9460,0.8292,0.9106,0.9479,0.8227,0.7869,0.3166,0.3166,0.3337,0.3337,0.9915,0.6650,0.8338,0.6402,0.6402
0081,0.9278,0.6733,0.9429,0.5325,0.7692,0.9093,0.7811,0.5652,0.8332,0.7082,0.2334,0.2334,0.0727,0.0727,0.2053,0.2231,0.3128,0.1424,0.1424
0082,0.8557,0.7694,0.9062,0.7830,0.8250,0.7932,0.9458,0.8526,0.9358,0.9635,0.4669,0.3015,0.3196,0.3196,0.8696,0.2856,0.2589,0.7291,0.7291
0083,0.8857,0.5947,0.8100,0.8433,0.5101,0.8111,0.8607,0.3535,0.7387,0.3510,0.0281,0.0281,0.0991,0.0991,0.3870,0.0664,0.6109,0.5823,0.5823
0084,0.3237,0.3792,0.5018,0.3883,0.5486,0.4799,0.4711,0.4611,0.4654,0.4532,0.1240,0.1240,0.1745,0.1745,0.1290,0.2574,0.1430,0.0900,0.0900
0085,0.7098,0.6768,0.5250,0.0325,0.7370,0.9427,0.6049,0.6363,0.8910,0.7650,0.3180,0.3180,0.0618,0.0618,0.1172,0.2301,0.3202,0.0026,0.0026
0086,0.2313,0.3372,0.4801,0.6053,0.0981,0.1298,0.3947,0.0993,0.5851,0.3998,0.0344,0.0344,0.0100,0.0100,0.5425,0.4610,0.0372,0.2686,0.2686
0087,0.5413,0.4876,0.4064,0.2727,0.2176,0.6974,0.2590,0.2534,0.3377,0.2945,0.3644,0.3644,0.3350,0.3350,0.5231,0.2951,0.3234,0.2202,0.2202
0088,0.6779,0.6287,0.6533,0.6555,0.7348,0.6740,0.6096,0.6772,0.7209,0.6152,0.1857,0.1857,0.1137,0.1137,0.6834,0.2255,0.5363,0.2644,0.2644
0089,0.6836,0.6751,0.6519,0.4206,0.4712,0.6130,0.6784,0.7921,0.6351,0.7152,0.1856,0.1856,0.1839,0.1839,0.6987,0.7087,0.4823,0.5560,0.5560
0090,0.4548,0.4597,0.4548,0.4597,0.4597,0.7019,0.7522,0.7052,0.5243,0.5342,0.5688,0.5688,0.4791,0.4791,0.6851,0.5332,0.3374,0.4811,0.4811
0091,0.8993,0.9067,0.8854,0.8078,0.8357,0.8282,0.9469,0.0798,0.8245,0.5406,0.0079,0.0079,0.0000,0.0000,0.5758,0.0822,0.3839,0.1487,0.1487
0092,0.7698,0.7302,0.6726,0.7028,0.6952,0.7676,0.8350,0.7811,0.6088,0.8620,0.4834,0.4834,0.4697,0.4697,0.1389,0.5008,0.2354,0.3845,0.3845
0093,0.7510,0.6013,0.7218,0.4988,0.7331,0.6616,0.7235,0.5309,0.5520,0.6492,0.4940,0.4940,0.3141,0.3141,0.2220,0.1442,0.1711,0.1244,0.1244
0094,0.5685,0.6102,0.5746,0.5136,0.5719,0.3920,0.4366,0.5956,0.4834,0.4988,0.5689,0.5988,0.5491,0.6075,0.6977,0.7571,0.5253,0.6788,0.6788
0095,0.7759,0.8002,0.6223,0.4705,0.6148,0.5713,0.8302,0.3669,0.5910,0.4979,0.5981,0.5981,0.4628,0.4628,0.6498,0.1806,0.6132,0.5022,0.5022
0096,0.5572,0.5319,0.3481,0.3183,0.4268,0.3440,0.4759,0.4185,0.4493,0.4424,0.8678,0.8678,0.8096,0.8096,0.5048,0.3786,0.4718,0.4099,0.4099
0097,0.5257,0.6048,0.2535,0.5926,0.2722,0.5505,0.7415,0.0024,0.5953,0.6601,0.3459,0.3459,0.3419,0.3419,0.0319,0.1336,0.1267,0.1390,0.1390
0098,0.8222,0.5854,0.9700,0.9022,0.5354,0.9516,0.9135,0.8732,0.8694,0.9026,0.5147,0.5147,0.2481,0.2481,0.6770,0.4079,0.4951,0.4244,0.4244
0099,0.7963,0.8589,0.9835,0.9905,0.7157,0.8586,0.7807,0.9324,0.7038,0.6642,0.0000,0.0000,0.0000,0.0000,0.5610,0.9411,0.3219,0.6725,0.6725
0100,0.3806,0.5571,0.2547,0.5353,0.7357,0.3059,0.2435,0.2293,0.4842,0.6435,0.7240,0.7240,0.7195,0.7195,0.5228,0.3117,0.2011,0.2137,0.2137
